Time,Pitch
0,71
0.0625,71
0.125,71
0.1875,71
0.25,71
0.3125,71
0.375,71
0.4375,71
0.5,68
0.5625,68
0.625,68
0.6875,68
0.75,68
0.8125,68
0.875,68
0.9375,68
1.0,78
1.0625,78
1.125,78
1.1875,78
1.25,78
1.3125,78
1.375,78
1.4375,78
1.5,76
1.5625,76
1.625,76
1.6875,76
1.75,76
1.8125,76
1.875,76
1.9375,76
2.0,76
2.0625,76
2.125,76
2.1875,76
2.25,76
2.3125,76
2.375,76
2.4375,76
2.5,76
2.5625,76
2.625,76
2.6875,76
2.75,76
2.8125,76
2.875,76
2.9375,76
3.0,75
3.0625,75
3.125,75
3.1875,75
3.25,75
3.3125,75
3.375,75
3.4375,75
3.5,75
3.5625,75
3.625,75
3.6875,75
3.75,75
3.8125,75
3.875,75
3.9375,75
4.0,73
4.0625,73
4.125,73
4.1875,73
4.25,73
4.3125,73
4.375,73
4.4375,73
4.5,71
4.5625,71
4.625,71
4.6875,71
4.75,71
4.8125,71
4.875,71
4.9375,71
5.0,0
5.0625,0
5.125,0
5.1875,0
5.25,0
5.3125,0
5.375,0
5.4375,0
5.5,0
5.5625,0
5.625,0
5.6875,0
5.75,0
5.8125,0
5.875,0
5.9375,0
6.0,78
6.0625,78
6.125,78
6.1875,78
6.25,78
6.3125,78
6.375,78
6.4375,78
6.5,78
6.5625,78
6.625,78
6.6875,78
6.75,78
6.8125,78
6.875,78
6.9375,78
7.0,78
7.0625,78
7.125,78
7.1875,78
7.25,80
7.3125,80
7.375,80
7.4375,80
7.5,75
7.5625,75
7.625,75
7.6875,75
7.75,73
7.8125,73
7.875,73
7.9375,73
8.0,71
8.0625,71
8.125,71
8.1875,71
8.25,71
8.3125,71
8.375,71
8.4375,71
8.5,71
8.5625,71
8.625,71
8.6875,71
8.75,71
8.8125,71
8.875,71
8.9375,71
9.0,73
9.0625,73
9.125,73
9.1875,73
9.25,73
9.3125,73
9.375,73
9.4375,73
9.5,71
9.5625,71
9.625,71
9.6875,71
9.75,71
9.8125,71
9.875,71
9.9375,71
10.0,0
10.0625,0
10.125,0
10.1875,0
10.25,0
10.3125,0
10.375,0
10.4375,0
10.5,0
10.5625,0
10.625,0
10.6875,0
10.75,0
10.8125,0
10.875,0
10.9375,0
11.0,0
11.0625,0
11.125,0
11.1875,0
11.25,0
11.3125,0
11.375,0
11.4375,0
11.5,0
11.5625,0
11.625,0
11.6875,0
11.75,0
11.8125,0
11.875,0
11.9375,0
12.0,0
12.0625,0
12.125,0
12.1875,0
12.25,0
12.3125,0
12.375,0
12.4375,0
12.5,0
12.5625,0
12.625,0
12.6875,0
12.75,0
12.8125,0
12.875,0
12.9375,0
13.0,0
13.0625,0
13.125,0
13.1875,0
13.25,0
13.3125,0
13.375,0
13.4375,0
13.5,0
13.5625,0
13.625,0
13.6875,0
13.75,0
13.8125,0
13.875,0
13.9375,0
14.0,75
14.0625,75
14.125,75
14.1875,75
14.25,75
14.3125,75
14.375,75
14.4375,75
14.5,75
14.5625,75
14.625,75
14.6875,75
14.75,75
14.8125,75
14.875,75
14.9375,75
15.0,73
15.0625,73
15.125,73
15.1875,73
15.25,75
15.3125,75
15.375,75
15.4375,75
15.5,78
15.5625,78
15.625,78
15.6875,78
15.75,78
15.8125,78
15.875,78
15.9375,78
16.0,73
16.0625,73
16.125,73
16.1875,73
16.25,73
16.3125,73
16.375,73
16.4375,73
16.5,73
16.5625,73
16.625,73
16.6875,73
16.75,73
16.8125,73
16.875,73
16.9375,73
17.0,68
17.0625,68
17.125,68
17.1875,68
17.25,68
17.3125,68
17.375,68
17.4375,68
17.5,68
17.5625,68
17.625,68
17.6875,68
17.75,68
17.8125,68
17.875,68
17.9375,68
18.0,0
18.0625,0
18.125,0
18.1875,0
18.25,0
18.3125,0
18.375,0
18.4375,0
18.5,0
18.5625,0
18.625,0
18.6875,0
18.75,0
18.8125,0
18.875,0
18.9375,0
19.0,0
19.0625,0
19.125,0
19.1875,0
19.25,0
19.3125,0
19.375,0
19.4375,0
19.5,0
19.5625,0
19.625,0
19.6875,0
19.75,0
19.8125,0
19.875,0
19.9375,0
20.0,75
20.0625,75
20.125,75
20.1875,75
20.25,75
20.3125,75
20.375,75
20.4375,75
20.5,0
20.5625,0
20.625,0
20.6875,0
20.75,75
20.8125,75
20.875,75
20.9375,75
21.0,73
21.0625,73
21.125,73
21.1875,73
21.25,75
21.3125,75
21.375,75
21.4375,75
21.5,78
21.5625,78
21.625,78
21.6875,78
21.75,78
21.8125,78
21.875,78
21.9375,78
22.0,73
22.0625,73
22.125,73
22.1875,73
22.25,73
22.3125,73
22.375,73
22.4375,73
22.5,0
22.5625,0
22.625,0
22.6875,0
22.75,75
22.8125,75
22.875,75
22.9375,75
23.0,71
23.0625,71
23.125,71
23.1875,71
23.25,71
23.3125,71
23.375,71
23.4375,71
23.5,68
23.5625,68
23.625,68
23.6875,68
23.75,71
23.8125,71
23.875,71
23.9375,71
24.0,73
24.0625,73
24.125,73
24.1875,73
24.25,73
24.3125,73
24.375,73
24.4375,73
24.5,75
24.5625,75
24.625,75
24.6875,75
24.75,73
24.8125,73
24.875,73
24.9375,73
25.0,71
25.0625,71
25.125,71
25.1875,71
25.25,73
25.3125,73
25.375,73
25.4375,73
25.5,75
25.5625,75
25.625,75
25.6875,75
25.75,75
25.8125,75
25.875,75
25.9375,75
26.0,73
26.0625,73
26.125,73
26.1875,73
26.25,73
26.3125,73
26.375,73
26.4375,73
26.5,73
26.5625,73
26.625,73
26.6875,73
26.75,73
26.8125,73
26.875,73
26.9375,73
27.0,73
27.0625,73
27.125,73
27.1875,73
27.25,73
27.3125,73
27.375,73
27.4375,73
27.5,73
27.5625,73
27.625,73
27.6875,73
27.75,73
27.8125,73
27.875,73
27.9375,73
28.0,73
28.0625,73
28.125,73
28.1875,73
28.25,73
28.3125,73
28.375,73
28.4375,73
28.5,73
28.5625,73
28.625,73
28.6875,73
28.75,73
28.8125,73
28.875,73
28.9375,73
